geo_code,geo_label,geo_labelw,IMD_Rank,IMD_Decile,IUC_CODE,IUC_LABEL
E01008389,Newcastle upon Tyne 028B,,"1,306","1","10",e-Withdrawn
E01008443,Newcastle upon Tyne 014G,,"27,587","9","8",Digital Seniors
E01008449,Newcastle upon Tyne 022D,,"7,032","3","1",e-Cultural Creators
E01008421,Newcastle upon Tyne 006F,,"31,260","10","3",e-Veterans
E01008365,Newcastle upon Tyne 012F,,"31,586","10","2",e-Professionals
E01008384,Newcastle upon Tyne 021D,,"13,922","5","7",Passive and Uncommitted Users
E01008364,Newcastle upon Tyne 018F,,"21,838","7","2",e-Professionals
E01033554,Newcastle upon Tyne 024I,,"5,860","2","1",e-Cultural Creators
E01008398,Newcastle upon Tyne 022C,,"1,117","1","10",e-Withdrawn
E01033556,Newcastle upon Tyne 022H,,"15,478","5","1",e-Cultural Creators
E01008459,Newcastle upon Tyne 004E,,"639","1","10",e-Withdrawn
E01008451,Newcastle upon Tyne 016C,,"10,455","4","7",Passive and Uncommitted Users
E01008311,Newcastle upon Tyne 001E,,"28,751","9","3",e-Veterans
