GISJOIN,STATE,TRACTA,INCOME,ERROR
G4000370020800,Oklahoma,20800,35833,1906
G0100890001200,Alabama,1200,12270,1907
G2600110970100,Michigan,970100,39601,1908
G7200790850200,Puerto Rico,850200,17107,1909
G4201010009400,Pennsylvania,9400,17149,1910
G3900950002800,Ohio,2800,11594,1913
G3900930023800,Ohio,23800,31283,1916
G7200970080300,Puerto Rico,80300,7853,1918
G5400470954504,West Virginia,954504,24104,1920
G4001430007900,Oklahoma,7900,26646,1921
G7200590740102,Puerto Rico,740102,15188,1927
G2601630522500,Michigan,522500,11601,1928
G4900130940500,Utah,940500,64112,1928
G1901850070300,Iowa,70300,38135,1930
G0400190001304,Arizona,1304,18506,1934
G4000270202600,Oklahoma,202600,51807,1935
G5501370960200,Wisconsin,960200,51549,1936
G3701070010400,North Carolina,10400,18085,1938
G0600730020213,California,20213,34259,1939
G7200450951800,Puerto Rico,951800,14865,1940
G4200830420700,Pennsylvania,420700,47098,1940
G3700810013900,North Carolina,13900,16160,1941
G1301210007603,Georgia,7603,13792,1942
G1200310002600,Florida,2600,19284,1944
G0100950030500,Alabama,30500,41313,1944
G4500790010900,South Carolina,10900,16434,1948
G4700570500401,Tennessee,500401,33961,1948
G2601630543700,Michigan,543700,17334,1949
G4701570006000,Tennessee,6000,26553,1950
G4200410012300,Pennsylvania,12300,26013,1951
G3701910002000,North Carolina,2000,26791,1952
G2405100090400,Maryland,90400,31696,1952
G7201270004600,Puerto Rico,4600,12464,1953
G7200810957900,Puerto Rico,957900,13920,1953
G0600770000100,California,100,14779,1954
G2800470002300,Mississippi,2300,23011,1955
G4200490002400,Pennsylvania,2400,41306,1957
G1302450010506,Georgia,10506,27112,1958
G0101030000600,Alabama,600,16494,1960
G3701550960502,North Carolina,960502,18179,1960
G4800290130500,Texas,130500,24248,1960
G5500470100500,Wisconsin,100500,51991,1960
G3600610002000,New York,2000,14745,1961
G4700170962000,Tennessee,962000,31078,1963
G7201530750201,Puerto Rico,750201,17215,1968
G2800490011500,Mississippi,11500,26107,1969
G0600670006102,California,6102,31447,1970
G2600650004402,Michigan,4402,19202,1971
G4802010421403,Texas,421403,22317,1971
G2800590042200,Mississippi,42200,31223,1971
G3200030000401,Nevada,401,17649,1972
G3600670013701,New York,13701,46237,1972
G1200010000901,Florida,901,20389,1973
G1300630040302,Georgia,40302,33190,1973
G0100970000402,Alabama,402,17759,1974
G0600370224700,California,224700,11585,1977
G7200910570700,Puerto Rico,570700,13193,1977
G1600050000800,Idaho,800,20829,1978
G1200950014502,Florida,14502,24946,1978
G3200030002996,Nevada,2996,32093,1978
G7201130072101,Puerto Rico,72101,10455,1979
G3900610003700,Ohio,3700,9913,1980
G4701630040300,Tennessee,40300,31110,1980
G0100430965000,Alabama,965000,38845,1981
G2800110950300,Mississippi,950300,23706,1982
G4800290181725,Texas,181725,36097,1982
G2600430950200,Michigan,950200,51895,1984
G4000890098700,Oklahoma,98700,25812,1987
G3900350101200,Ohio,101200,17782,1990
G1201270082000,Florida,82000,18668,1990
G4800270023500,Texas,23500,23046,1990
G0400150950706,Arizona,950706,23518,1990
G7200790850101,Puerto Rico,850101,11412,1991
G4400030020604,Rhode Island,20604,46108,1992
G4201190090102,Pennsylvania,90102,53535,1993
G2601630521300,Michigan,521300,35966,1997
G1200610050705,Florida,50705,46134,1997
G3900490009210,Ohio,9210,35664,1998
G3300070950400,New Hampshire,950400,39554,1998
G2900770000502,Missouri,502,14690,2000
G4802010222300,Texas,222300,41829,2000
G2500170341200,Massachusetts,341200,63855,2001
G5501070960500,Wisconsin,960500,38492,2002
G3500010000903,New Mexico,903,18306,2005
G2200710014300,Louisiana,14300,11783,2007
G7201270008500,Puerto Rico,8500,18798,2007
G7201530750102,Puerto Rico,750102,9073,2009
G4001330583600,Oklahoma,583600,26214,2009
G2900950016900,Missouri,16900,32910,2009
G4804390122300,Texas,122300,21262,2011
G7201530750101,Puerto Rico,750101,8560,2012
G7200550960900,Puerto Rico,960900,9464,2012
G3900290951600,Ohio,951600,48929,2014
G3701530970300,North Carolina,970300,34742,2015
G0400130061100,Arizona,61100,50575,2015
G0600710009116,California,9116,20676,2017
G3900350118602,Ohio,118602,9419,2018
G1200860000805,Florida,805,30822,2018
G5500430960400,Wisconsin,960400,50225,2019
G2601510970600,Michigan,970600,41117,2020
G0400170942400,Arizona,942400,19349,2021
G1600490940000,Idaho,940000,36987,2022
G5500090021400,Wisconsin,21400,77756,2022
G1201050011603,Florida,11603,40922,2023
G2500270710700,Massachusetts,710700,17292,2024
G3500050000300,New Mexico,300,35850,2024
G2201150950500,Louisiana,950500,41374,2025
G3701830054008,North Carolina,54008,38653,2026
G5101650011100,Virginia,11100,66156,2026
G2001470475300,Kansas,475300,46049,2027
G4200110000100,Pennsylvania,100,16617,2030
G2600650002101,Michigan,2101,31071,2032
G2500030900100,Massachusetts,900100,21182,2033
G5500390040500,Wisconsin,40500,26098,2034
G3900490002750,Ohio,2750,26211,2034
G5501190960100,Wisconsin,960100,51833,2034
G7200330020426,Puerto Rico,20426,3125,2035
G7201530750202,Puerto Rico,750202,9657,2035
G2900470022100,Missouri,22100,41801,2035
G2701230034500,Minnesota,34500,41814,2035
G4001430000800,Oklahoma,800,31520,2036
G0400190003705,Arizona,3705,31457,2037
G2600350000300,Michigan,300,33291,2038
G4802010251902,Texas,251902,74490,2038
G2600630951200,Michigan,951200,40321,2040
G1200730000500,Florida,500,11039,2041
G2900550450200,Missouri,450200,35013,2043
G0501170460100,Arkansas,460100,41070,2044
G0600290004604,California,4604,53283,2046
G4804530000604,Texas,604,8975,2047
G2700530104800,Minnesota,104800,20126,2047
G0201580000100,Alaska,100,36468,2049
G3900950002500,Ohio,2500,16067,2050
G4700370010702,Tennessee,10702,23496,2050
G4000790040401,Oklahoma,40401,41570,2051
G4001090108313,Oklahoma,108313,33451,2052
G1700310340600,Illinois,340600,11622,2053
G4802790950200,Texas,950200,51132,2054
G3600550002300,New York,2300,19731,2055
G3900950005200,Ohio,5200,35965,2055
G0400130111201,Arizona,111201,36186,2057
G5500790006500,Wisconsin,6500,18979,2058
G4200110010500,Pennsylvania,10500,61161,2058
G4001150574400,Oklahoma,574400,29375,2059
G2700030051305,Minnesota,51305,45625,2061
G1800410954600,Indiana,954600,51196,2063
G5107600060800,Virginia,60800,28879,2064
G7200990420301,Puerto Rico,420301,11547,2066
G5500750960200,Wisconsin,960200,37637,2066
G2601630502000,Michigan,502000,36173,2067
G0600670009501,California,9501,41219,2067
G1800890010304,Indiana,10304,31714,2068
G3101090000300,Nebraska,300,29144,2069
G5500010950502,Wisconsin,950502,40972,2072
G5500310030100,Wisconsin,30100,63253,2072
G1200860980700,Florida,980700,11824,2074
G4200030561900,Pennsylvania,561900,24171,2075
G0801010002916,Colorado,2916,36611,2075
G4802010550301,Texas,550301,31968,2077
G3900350114300,Ohio,114300,3709,2079
G5500190950100,Wisconsin,950100,48316,2080
G2601630522300,Michigan,522300,10238,2081
G1801670000700,Indiana,700,34013,2081
G1200990005814,Florida,5814,42077,2083
G5400410967500,West Virginia,967500,36115,2086
G2800830950900,Mississippi,950900,16406,2087
G3901130165200,Ohio,165200,21049,2087
G0600190002800,California,2800,21819,2088
G2700530126000,Minnesota,126000,18995,2091
G7200250201900,Puerto Rico,201900,18686,2092
G0501430010701,Arkansas,10701,24499,2093
G7200650310500,Puerto Rico,310500,14851,2094
G4801210020900,Texas,20900,21285,2095
G3400210001000,New Jersey,1000,18022,2097
G2701110961300,Minnesota,961300,46786,2097
G5107600020200,Virginia,20200,11390,2099
G4200370051500,Pennsylvania,51500,56151,2099
G5400110000600,West Virginia,600,11958,2100
G0600190007100,California,7100,34742,2100
G7200750710800,Puerto Rico,710800,20462,2101
G2600570000200,Michigan,200,49188,2101
G4000790040301,Oklahoma,40301,40451,2102
G4500830020800,South Carolina,20800,12039,2103
G2500050641000,Massachusetts,641000,19164,2103
G3600550006900,New York,6900,21315,2103
G2800750000400,Mississippi,400,18569,2104
G3600610019200,New York,19200,17304,2105
G0600650042405,California,42405,40753,2106
G4801190950200,Texas,950200,30792,2107
G2101470960300,Kentucky,960300,16327,2108
G4900110125502,Utah,125502,51317,2109
G4200490010700,Pennsylvania,10700,45745,2110
G4200110002600,Pennsylvania,2600,14375,2111
G3400170014502,New Jersey,14502,16332,2111
G3701410920300,North Carolina,920300,36644,2112
G3901690003000,Ohio,3000,66107,2112
G2600790950400,Michigan,950400,42714,2114
G4201050950100,Pennsylvania,950100,40045,2116
G3600030950300,New York,950300,41612,2116
G2800490010804,Mississippi,10804,42036,2117
G2400210750503,Maryland,750503,52903,2117
G7201410957500,Puerto Rico,957500,11303,2120
G2500130800900,Massachusetts,800900,18364,2121
G7200050401100,Puerto Rico,401100,9393,2122
G0400130104401,Arizona,104401,35982,2122
G1800330020601,Indiana,20601,42310,2122
G2801350950200,Mississippi,950200,18958,2124
G1300190970500,Georgia,970500,41649,2124
G7200450951900,Puerto Rico,951900,7100,2125
G5300630003500,Washington,3500,12511,2125
G3900950000800,Ohio,800,21923,2125
G4801130012210,Texas,12210,25726,2125
G2600830000100,Michigan,100,41206,2125
G4803030000605,Texas,605,16862,2126
G4500070000600,South Carolina,600,21432,2126
G4001090104100,Oklahoma,104100,11721,2127
G1700310670300,Illinois,670300,21230,2127
G4801130012211,Texas,12211,30223,2128
G2600750000400,Michigan,400,34583,2128
G4803470950600,Texas,950600,23547,2129
G3400130003100,New Jersey,3100,29801,2129
G4200790213800,Pennsylvania,213800,41519,2130
G3200070951500,Nevada,951500,48404,2130
G3600810016300,New York,16300,20920,2131
G3100550007101,Nebraska,7101,33736,2131
G3701830053520,North Carolina,53520,51812,2131
G3700390930500,North Carolina,930500,41169,2132
G1800970381102,Indiana,381102,43901,2132
G7201130071602,Puerto Rico,71602,9850,2133
G3901130080400,Ohio,80400,25758,2133
G3600550004702,New York,4702,30645,2133
G2600010970500,Michigan,970500,34830,2133
G7200270320500,Puerto Rico,320500,15239,2135
G0900010070300,Connecticut,70300,7545,2136
G1801630001000,Indiana,1000,28880,2136
G2300170966900,Maine,966900,42778,2136
G3700970060200,North Carolina,60200,29242,2138
G7200570270400,Puerto Rico,270400,8289,2139
G3600470090800,New York,90800,10767,2140
G7201270001400,Puerto Rico,1400,11637,2141
G0900010070600,Connecticut,70600,19216,2141
G1201270082100,Florida,82100,19229,2141
G7200050401000,Puerto Rico,401000,12846,2142
G3900390958400,Ohio,958400,58432,2142
G2700650480300,Minnesota,480300,39130,2143
