GISJOIN,STATE,TRACTA,TOTAL,BLACK_AA_Count,BLACK_AA_Percentage
G0100730010801,Alabama,10801,6044,173,2.86
G0100550010800,Alabama,10800,2897,84,2.9
G0100830020202,Alabama,20202,5145,150,2.92
G0100730010805,Alabama,10805,6923,203,2.93
G0101110000200,Alabama,200,2968,90,3.03
G0100030011101,Alabama,11101,10485,322,3.07
G0100830020101,Alabama,20101,4808,149,3.1
G0100150002600,Alabama,2600,4623,145,3.14
G0100390961600,Alabama,961600,4111,130,3.16
G0100730012914,Alabama,12914,2023,65,3.21
G0100570020100,Alabama,20100,3202,103,3.22
G0100930964200,Alabama,964200,1482,48,3.24
G0100890010901,Alabama,10901,14881,486,3.27
G0101150040105,Alabama,40105,4510,150,3.33
G0101170030345,Alabama,30345,3037,102,3.36
G0100730004800,Alabama,4800,1991,68,3.42
G0101110000100,Alabama,100,3527,121,3.43
G0100490961300,Alabama,961300,5783,199,3.44
G0101030005200,Alabama,5200,6389,220,3.44
G0101270021900,Alabama,21900,2440,84,3.44
G0101250010201,Alabama,10201,3650,126,3.45
G0100830020102,Alabama,20102,5772,202,3.5
G0100150002000,Alabama,2000,6962,245,3.52
G0100730010703,Alabama,10703,2427,86,3.54
G0101250010101,Alabama,10101,4579,162,3.54
G0100030010906,Alabama,10906,5473,195,3.56
G0100490960400,Alabama,960400,5737,204,3.56
G0101030005304,Alabama,5304,5849,208,3.56
G0101270020800,Alabama,20800,6032,215,3.56
G0100950031100,Alabama,31100,5471,197,3.6
G0100370961100,Alabama,961100,3581,130,3.63
G0100550010900,Alabama,10900,1656,63,3.8
G0101170030217,Alabama,30217,5674,217,3.82
G0100490960800,Alabama,960800,4860,189,3.89
G0100730011302,Alabama,11302,6350,247,3.89
G0100330020400,Alabama,20400,1590,62,3.9
G0100330020902,Alabama,20902,3533,139,3.93
G0101170030214,Alabama,30214,8686,341,3.93
G0100090050102,Alabama,50102,7285,293,4.02
G0101030005105,Alabama,5105,2430,98,4.03
G0100310010800,Alabama,10800,2914,118,4.05
G0101030005404,Alabama,5404,5120,208,4.06
G0100890000902,Alabama,902,2065,84,4.07
G0100150001500,Alabama,1500,5218,213,4.08
G0100890011012,Alabama,11012,6078,249,4.1
G0100030011403,Alabama,11403,10050,413,4.11
G0100150002200,Alabama,2200,3378,139,4.11
G0100330020901,Alabama,20901,4234,175,4.13
G0100090050101,Alabama,50101,7532,316,4.2
G0101230962501,Alabama,962501,4156,176,4.23
G0100030011300,Alabama,11300,4710,204,4.33
G0100950030702,Alabama,30702,3654,159,4.35
G0100970005900,Alabama,5900,4428,194,4.38
G0101170030331,Alabama,30331,4436,197,4.44
G0100790979700,Alabama,979700,1785,80,4.48
G0100830020201,Alabama,20201,5396,243,4.5
G0100030011000,Alabama,11000,4072,184,4.52
G0100730010702,Alabama,10702,4652,222,4.77
G0100730012802,Alabama,12802,2704,129,4.77
G0101270021100,Alabama,21100,3220,154,4.78
G0101270021400,Alabama,21400,3497,167,4.78
G0101030005405,Alabama,5405,4519,217,4.8
G0100070010002,Alabama,10002,6201,303,4.89
G0100190955900,Alabama,955900,4126,202,4.9
G0100930964400,Alabama,964400,5405,265,4.9
G0100550001100,Alabama,1100,5114,252,4.93
G0100150002501,Alabama,2501,7451,377,5.06
G0101150040300,Alabama,40300,5528,281,5.08
G0100730004702,Alabama,4702,3491,178,5.1
G0100810040700,Alabama,40700,5533,282,5.1
G0100010020100,Alabama,20100,1845,96,5.2
G0100190956100,Alabama,956100,4637,250,5.39
G0101170030304,Alabama,30304,6030,326,5.41
G0100430965401,Alabama,965401,2864,156,5.45
G0100810040800,Alabama,40800,2900,159,5.48
G0100890002722,Alabama,2722,2864,157,5.48
G0101250010406,Alabama,10406,4965,278,5.6
G0100310010300,Alabama,10300,4912,279,5.68
G0100890000901,Alabama,901,4411,251,5.69
G0100710950200,Alabama,950200,3173,183,5.77
G0100950030903,Alabama,30903,5740,333,5.8
G0101170030103,Alabama,30103,886,52,5.87
G0100890001000,Alabama,1000,2738,161,5.88
G0100970007103,Alabama,7103,3382,200,5.91
G0100930964300,Alabama,964300,5052,302,5.98
G0100030010703,Alabama,10703,17748,1069,6.02
G0100890002802,Alabama,2802,6982,420,6.02
G0100890002701,Alabama,2701,2742,166,6.05
G0101170030211,Alabama,30211,3114,189,6.07
G0100610050200,Alabama,50200,2388,146,6.11
G0100490960900,Alabama,960900,3679,225,6.12
G0101250010103,Alabama,10103,5888,361,6.13
G0100070010001,Alabama,10001,2643,163,6.17
G0101250010602,Alabama,10602,10477,657,6.27
G0100030011401,Alabama,11401,10180,647,6.36
G0100210060402,Alabama,60402,8885,566,6.37
G0100550010402,Alabama,10402,5072,324,6.39
G0100730012302,Alabama,12302,3550,227,6.39
G0101250010702,Alabama,10702,7388,479,6.48
G0100690040100,Alabama,40100,5535,360,6.5
G0100730014406,Alabama,14406,5905,384,6.5
G0100890002911,Alabama,2911,4335,282,6.51
G0101030005107,Alabama,5107,4626,301,6.51
G0100970006502,Alabama,6502,13269,865,6.52
G0100550000400,Alabama,400,3938,258,6.55
G0101230961900,Alabama,961900,2501,165,6.6
G0100550000500,Alabama,500,1796,119,6.63
G0100890010401,Alabama,10401,5936,398,6.7
